"record_id","sell","price_usd","kilometers","miles","year","maker","model"
14465,1,450.,265542,165000.,1995.,"Toyota","Corolla"
14682,1,3750.,176859,109895.,1999.,"Toyota","Corolla"
14689,0,3700.,176859,109895.,1999.,"Toyota","Corolla"
14810,1,1025.,252667,157000.,1990.,"Toyota","Corolla"
15172,0,910.,270209,167900.,1991.,"Toyota","Corolla"
15173,0,1001.98,270209,167900.,1991.,"Toyota","Corolla"
15174,1,2900.01,294269,182850.,1974.,"Toyota","Corolla"
15190,1,2402.,209215,130000.,1997.,"Toyota","Corolla"
15194,1,305.,420718,261422.,1990.,"Toyota","Corolla"
15199,1,2513.15,168981,105000.,1993.,"Toyota","Corolla"
15201,1,1825.,209215,130000.,1997.,"Toyota","Corolla"
15231,0,6100.,185074,115000.,2003.,"Toyota","Corolla"
15290,1,511.,248140,154187.,1990.,"Toyota","Corolla"
15291,1,760.,248140,154187.,1990.,"Toyota","Corolla"
15780,1,405.,292901,182000.,1993.,"Toyota","Corolla"
16476,1,383.,535912,333000.,1980.,"Toyota","Corolla"
16630,0,3383.33,180247,112000.,1999.,"Toyota","Corolla"
16680,0,8000.,67271,41800.,2002.,"Toyota","Corolla"
16708,1,1605.,228527,142000.,2000.,"Toyota","Corolla"
16726,0,3250.,79001,49089.,1999.,"Toyota","Corolla"
16795,1,6500.,257944,160279.,1985.,"Toyota","Corolla"
16949,1,810.,273588,170000.,1986.,"Toyota","Corolla"
17179,1,1802.,329915,205000.,1999.,"Toyota","Corolla"
17427,1,620.,321074,199506.,1992.,"Toyota","Corolla"
17474,0,7499.,58815,36546.,2002.,"Toyota","Corolla"
17475,0,8100.,133222,82780.,2003.,"Toyota","Corolla"
17482,0,8250.,85369,53046.,2003.,"Toyota","Corolla"
17524,0,485.5,253837,157727.,1989.,"Toyota","Corolla"
17706,1,4075.,169786,105500.,1999.,"Toyota","Corolla"
17743,0,4175.,28968,18000.,1971.,"Toyota","Corolla"
17775,1,3100.,143232,89000.,1994.,"Toyota","Corolla"
17784,0,10500.,22853,14200.,2005.,"Toyota","Corolla"
18002,1,1082.27,332928,206872.,1993.,"Toyota","Corolla"
18056,1,5350.,110924,68925.,2000.,"Toyota","Corolla"
18141,1,4640.,104157,64720.,2001.,"Toyota","Corolla"
18371,1,13800.,36178,22480.,2004.,"Toyota","Corolla"
18526,1,1825.,305027,189535.,1998.,"Toyota","Corolla"
18618,1,455.,143232,89000.,1971.,"Toyota","Corolla"
18646,1,3055.52,187972,116800.,1997.,"Toyota","Corolla"
18685,1,660.,233385,145019.,1989.,"Toyota","Corolla"
18767,0,5000.,137060,85165.,2002.,"Toyota","Corolla"
18776,0,1425.,305025,189534.,1994.,"Toyota","Corolla"
18932,0,8001.43,41045,25504.,2001.,"Toyota","Corolla"
18980,1,306.,223699,139000.,1995.,"Toyota","Corolla"
19225,1,3000.,239237,148655.,1985.,"Toyota","Corolla"
19257,0,6995.,90532,56254.,2003.,"Toyota","Corolla"
19258,1,6500.,90532,56254.,2003.,"Toyota","Corolla"
19487,1,860.,383024,238000.,1989.,"Toyota","Corolla"
19934,1,4100.,130474,81073.,1998.,"Toyota","Corolla"
20198,0,14201.79,33495,20813.,2005.,"Toyota","Corolla"
20282,0,3550.,57714,35862.,2005.,"Toyota","Corolla"
20283,1,13400.,57714,35862.,2005.,"Toyota","Corolla"
20285,1,5600.,168152,104485.,2002.,"Toyota","Corolla"
20287,0,4605.,168152,104485.,2002.,"Toyota","Corolla"
20289,0,3500.,144744,89940.,1998.,"Toyota","Corolla"
20381,1,1036.,294510,183000.,1992.,"Toyota","Corolla"
20438,1,810.,194731,121000.,1995.,"Toyota","Corolla"
20615,1,325.,333579,207276.,1987.,"Toyota","Corolla"
20616,1,300.,333579,207276.,1987.,"Toyota","Corolla"
20747,0,1675.,2391,1486.,1996.,"Toyota","Corolla"
20839,1,9763.,90284,56100.,2003.,"Toyota","Corolla"
20907,0,4300.,147894,91897.,2003.,"Toyota","Corolla"
21343,0,3050.01,198542,123368.,1998.,"Toyota","Corolla"
21477,1,346.,270370,168000.,1993.,"Toyota","Corolla"
21480,1,611.,238183,148000.,1994.,"Toyota","Corolla"
21634,0,1225.98,143850,89384.,1979.,"Toyota","Corolla"
22060,1,620.,128371,79766.,1990.,"Toyota","Corolla"
22196,1,1075.,163532,101614.,2001.,"Toyota","Corolla"
22197,1,1150.,163532,101614.,2001.,"Toyota","Corolla"
22527,1,12250.,15065,9361.,2005.,"Toyota","Corolla"
22653,0,960.,162544,101000.,1989.,"Toyota","Corolla"
22686,0,2000.,196340,122000.,1994.,"Toyota","Corolla"
22687,1,1600.,196340,122000.,1994.,"Toyota","Corolla"
22707,0,12000.,48023,29840.,2004.,"Toyota","Corolla"
23726,0,14099.,22278,13843.,2006.,"Toyota","Corolla"
23945,1,8800.,107948,67076.,2003.,"Toyota","Corolla"
24005,1,710.,223324,138767.,1987.,"Toyota","Corolla"
24421,1,5100.,118718,73768.,2002.,"Toyota","Corolla"
24475,0,10000.,52474,32606.,2005.,"Toyota","Corolla"
24525,1,1925.,210148,130580.,1995.,"Toyota","Corolla"
24608,0,3653.,118517,73643.,1996.,"Toyota","Corolla"
24679,1,8123.,59546,37000.,2003.,"Toyota","Corolla"
24922,1,1775.,298211,185300.,1995.,"Toyota","Corolla"
24956,0,2301.,143232,89000.,1989.,"Toyota","Corolla"
25048,1,12000.,44418,27600.,2005.,"Toyota","Corolla"
25138,0,4850.,132127,82100.,1999.,"Toyota","Corolla"
25139,0,5038.87,132127,82100.,1999.,"Toyota","Corolla"
25206,1,609.97,177028,110000.,1985.,"Toyota","Corolla"
25241,1,8600.,10491,6519.,1999.,"Toyota","Corolla"
25243,1,5600.02,152315,94644.,2001.,"Toyota","Corolla"
25412,0,10450.,49648,30850.,2005.,"Toyota","Corolla"
25415,1,11213.,49648,30850.,2005.,"Toyota","Corolla"
25416,0,8100.,49648,30850.,2005.,"Toyota","Corolla"
25418,0,11600.,20761,12900.,2005.,"Toyota","Corolla"
25422,0,9350.,49648,30850.,2005.,"Toyota","Corolla"
25428,0,12000.,48039,29850.,2005.,"Toyota","Corolla"
25429,0,10102.,48039,29850.,2005.,"Toyota","Corolla"
25431,0,11050.,49648,30850.,2005.,"Toyota","Corolla"
25615,0,10100.,41285,25653.,2005.,"Toyota","Corolla"
25621,0,14206.99,41285,25653.,2005.,"Toyota","Corolla"
25657,1,2325.,171414,106512.,1978.,"Toyota","Corolla"
25949,1,1650.,341181,212000.,1994.,"Toyota","Corolla"
26032,0,8600.,46322,28783.,2003.,"Toyota","Corolla"
26099,0,8100.,62764,39000.,2004.,"Toyota","Corolla"
26449,1,5275.,188539,117153.,2001.,"Toyota","Corolla"
26570,1,8609.,27037,16800.,2005.,"Toyota","Corolla"
26597,0,6701.,68601,42627.,2000.,"Toyota","Corolla"
26709,0,3850.,125188,77788.,2000.,"Toyota","Corolla"
26746,1,7100.,52730,32765.,2002.,"Toyota","Corolla"
26748,1,10100.,60862,37818.,2003.,"Toyota","Corolla"
26782,1,4930.,82379,51188.,1998.,"Toyota","Corolla"
26784,1,1525.,248285,154277.,1995.,"Toyota","Corolla"
27390,1,560.,316334,196561.,1991.,"Toyota","Corolla"
27414,1,2125.,182233,113234.,1994.,"Toyota","Corolla"
27551,0,10600.33,89660,55712.,2003.,"Toyota","Corolla"
27566,1,10900.,51967,32291.,2005.,"Toyota","Corolla"
27569,0,10600.,52225,32451.,2005.,"Toyota","Corolla"
27674,1,1625.,183209,113841.,1997.,"Toyota","Corolla"
27771,1,504.,289910,180142.,1985.,"Toyota","Corolla"
27772,0,265.,174152,108213.,1983.,"Toyota","Corolla"
27824,0,11101.,45062,28000.,2005.,"Toyota","Corolla"
27846,0,680.,276807,172000.,1993.,"Toyota","Corolla"
27885,1,1525.,283615,176230.,1993.,"Toyota","Corolla"
27886,1,1800.,283615,176230.,1993.,"Toyota","Corolla"
27895,0,1825.,54309,33746.,1972.,"Toyota","Corolla"
27896,1,2750.,54718,34000.,1972.,"Toyota","Corolla"
27944,1,2427.21,102618,63764.,1992.,"Toyota","Corolla"
28011,1,2000.,287268,178500.,1997.,"Toyota","Corolla"
28197,1,102.5,426476,265000.,1990.,"Toyota","Corolla"
28224,0,5600.,107361,66711.,2002.,"Toyota","Corolla"
28290,1,3750.,96561,60000.,1997.,"Toyota","Corolla"
28386,0,7900.,94147,58500.,2003.,"Toyota","Corolla"
28387,0,8100.,94147,58500.,2003.,"Toyota","Corolla"
28388,1,8700.,94790,58900.,2003.,"Toyota","Corolla"
28400,0,5850.,39464,24522.,2005.,"Toyota","Corolla"
28402,0,7600.,33677,20926.,2005.,"Toyota","Corolla"
28410,0,9600.,42558,26444.,2005.,"Toyota","Corolla"
28457,1,4800.,154497,96000.,2001.,"Toyota","Corolla"
28506,1,1491.,260017,161567.,1997.,"Toyota","Corolla"
28694,1,1525.,336979,209389.,1993.,"Toyota","Corolla"
28750,0,3350.,92219,57302.,1982.,"Toyota","Corolla"
28751,0,4550.,92219,57302.,1982.,"Toyota","Corolla"
29138,1,7901.,73198,45483.,2001.,"Toyota","Corolla"
29242,1,680.,170591,106000.,1985.,"Toyota","Corolla"
29388,1,2550.,255886,159000.,1996.,"Toyota","Corolla"
29438,1,2550.,233374,145012.,1997.,"Toyota","Corolla"
29585,1,760.,343252,213287.,1993.,"Toyota","Corolla"
29724,1,510.,281603,174980.,1987.,"Toyota","Corolla"
29726,1,330.,281605,174981.,1987.,"Toyota","Corolla"
30123,0,12850.,10,6.,2006.,"Toyota","Corolla"
30240,1,1025.,153250,95225.,1974.,"Toyota","Corolla"
30274,1,7701.,42192,26217.,2000.,"Toyota","Corolla"
30370,1,800.,336353,209000.,1988.,"Toyota","Corolla"
30595,0,305.,299338,186000.,1986.,"Toyota","Corolla"
30832,0,9600.,9127,5671.,2006.,"Toyota","Corolla"
30836,0,7950.,14726,9150.,2005.,"Toyota","Corolla"
30849,1,9599.,14726,9150.,2005.,"Toyota","Corolla"
30856,1,9050.,14726,9150.,2005.,"Toyota","Corolla"
30861,0,8200.,40115,24926.,2005.,"Toyota","Corolla"
30864,0,7125.,40234,25000.,2005.,"Toyota","Corolla"
30865,1,9400.,9127,5671.,2006.,"Toyota","Corolla"
